from,to,label,value,
ip_1_4398,ip_1_4399,PUNCTUATION,",",
ip_1_4400,ip_1_4401,PUNCTUATION,"’",
ip_1_4422,ip_1_4423,PUNCTUATION,".",
ip_1_4423,ip_1_4424,PUNCTUATION,"”",
ip_1_4440,ip_1_4441,PUNCTUATION,":",
ip_1_4442,ip_1_4443,PUNCTUATION,"“",
ip_1_4471,ip_1_4472,PUNCTUATION,"’",
ip_1_4480,ip_1_4481,PUNCTUATION,"?",
ip_1_4481,ip_1_4482,PUNCTUATION,"”",
ip_1_4494,ip_1_4495,PUNCTUATION,"’",
ip_1_4528,ip_1_4529,PUNCTUATION,"-",
ip_1_4545,ip_1_4546,PUNCTUATION,",",
ip_1_4565,ip_1_4566,PUNCTUATION,":",
ip_1_4567,ip_1_4568,PUNCTUATION,"“",
ip_1_4568,ip_1_4569,PUNCTUATION,"’",
ip_1_4609,ip_1_4610,PUNCTUATION,"’",
ip_1_4620,ip_1_4621,PUNCTUATION,".",
ip_1_4621,ip_1_4622,PUNCTUATION,"”",
ip_1_4624,ip_1_4625,PUNCTUATION,"“",
ip_1_4631,ip_1_4632,PUNCTUATION,"?",
ip_1_4632,ip_1_4633,PUNCTUATION,"”",
ip_1_4642,ip_1_4643,PUNCTUATION,".",
ip_1_4644,ip_1_4645,PUNCTUATION,"“",
ip_1_4691,ip_1_4692,PUNCTUATION,"?",
ip_1_4692,ip_1_4693,PUNCTUATION,"”",
ip_1_4704,ip_1_4705,PUNCTUATION,"’",
ip_1_4744,ip_1_4745,PUNCTUATION,",",
ip_1_4785,ip_1_4786,PUNCTUATION,"’",
ip_1_4812,ip_1_4813,PUNCTUATION,".",
ip_1_4820,ip_1_4821,PUNCTUATION,"’",
ip_1_4849,ip_1_4850,PUNCTUATION,",",
ip_1_4867,ip_1_4868,PUNCTUATION,"’",
ip_1_4926,ip_1_4927,PUNCTUATION,".",
ip_1_4993,ip_1_4994,PUNCTUATION,",",
ip_1_5000,ip_1_5001,PUNCTUATION,"’",
ip_1_5055,ip_1_5056,PUNCTUATION,",",
ip_1_5064,ip_1_5065,PUNCTUATION,"’",
ip_1_5132,ip_1_5133,PUNCTUATION,".",
ip_1_5175,ip_1_5176,PUNCTUATION,",",
ip_1_5222,ip_1_5223,PUNCTUATION,"-",
ip_1_5234,ip_1_5235,PUNCTUATION,".",
ip_1_5278,ip_1_5279,PUNCTUATION,":",
ip_1_5304,ip_1_5305,PUNCTUATION,".",
ip_1_5307,ip_1_5308,PUNCTUATION,"“",
ip_1_5324,ip_1_5325,PUNCTUATION,",",
ip_1_5325,ip_1_5326,PUNCTUATION,"”",
ip_1_5334,ip_1_5335,PUNCTUATION,",",
ip_1_5336,ip_1_5337,PUNCTUATION,"“",
ip_1_5378,ip_1_5379,PUNCTUATION,",",
ip_1_5417,ip_1_5418,PUNCTUATION,".",
ip_1_5418,ip_1_5419,PUNCTUATION,"”",
ip_1_5421,ip_1_5422,PUNCTUATION,"’",
ip_1_5468,ip_1_5469,PUNCTUATION,",",
ip_1_5494,ip_1_5495,PUNCTUATION,"’",
ip_1_5566,ip_1_5567,PUNCTUATION,".",
ip_1_5569,ip_1_5570,PUNCTUATION,"“",
ip_1_5594,ip_1_5595,PUNCTUATION,",",
ip_1_5595,ip_1_5596,PUNCTUATION,"”",
ip_1_5605,ip_1_5606,PUNCTUATION,".",
ip_1_5607,ip_1_5608,PUNCTUATION,"“",
ip_1_5645,ip_1_5646,PUNCTUATION,"-",
ip_1_5713,ip_1_5714,PUNCTUATION,".",
ip_1_5737,ip_1_5738,PUNCTUATION,".",
ip_1_5773,ip_1_5774,PUNCTUATION,"-",
ip_1_5791,ip_1_5792,PUNCTUATION,".",
ip_1_5792,ip_1_5793,PUNCTUATION,"”",
ip_1_5813,ip_1_5814,PUNCTUATION,"’",
ip_1_5828,ip_1_5829,PUNCTUATION,"’",
ip_1_5847,ip_1_5848,PUNCTUATION,":",
ip_1_5849,ip_1_5850,PUNCTUATION,"“",
ip_1_5865,ip_1_5866,PUNCTUATION,"?",
ip_1_5866,ip_1_5867,PUNCTUATION,"”",
ip_1_5869,ip_1_5870,PUNCTUATION,"“",
ip_1_5871,ip_1_5872,PUNCTUATION,"’",
ip_1_5883,ip_1_5884,PUNCTUATION,",",
ip_1_5884,ip_1_5885,PUNCTUATION,"”",
ip_1_5895,ip_1_5896,PUNCTUATION,",",
ip_1_5972,ip_1_5973,PUNCTUATION,"‘",
ip_1_6019,ip_1_6020,PUNCTUATION,"’",
ip_1_6021,ip_1_6022,PUNCTUATION,"-",
ip_1_6044,ip_1_6045,PUNCTUATION,".",

